2B,3B,AVG,BB,BK,BSV,CG,era(-),fip,Xaxispic,Yaxispic,circle,circle2,circle3,circle4,ERA,ER,G,HBP,HLD,HR,H,IBB,IP FInal,IP.1,IP.2,IP,L,NP,레코드 수,PR,QS,R,SAC,SF,SHO,SO,SV,TBF,WHIP,WPCT,WP,W,X,Y,레코드 수,선수그룹2,선수명 (그룹),선수명,팀명
33,2,0.226,38,0,0,0,1.795138889,0.186198068,,,1,1,1,1,2.88,54,26,8,0,16,142,0,168.66,168 2/3,1680.66,168 2/3,4,2605,1,386.2314,21,56,5,2,0,157,0,681,1.07,0.789,10,15,1637,477,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,린드블럼,두산
23,3,0.247,35,1,0,1,1.684039088,-1.584158416,,,1,1,1,1,3.07,58,26,6,0,11,158,1,17,170,170,170,4,2632,1,35.7,20,63,6,3,1,149,0,689,1.14,0.692,10,9,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,윌슨,LG
44,1,0.267,28,0,0,1,1.46875,-0.314312036,,,1,1,1,1,3.52,71,27,4,0,16,192,1,181.33,1810.33,1810.33,181 1/3,9,2751,1,299.1945,18,83,2,6,1,181,0,760,1.21,0.5,6,9,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,소사,LG
24,1,0.274,36,0,0,1,1.424242424,0.747282609,,,1,1,1,1,3.63,58,25,8,0,14,151,2,144,144,144,144,3,2237,1,221.76,16,62,5,7,0,102,0,608,1.3,0.833,6,15,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,이용찬,두산
17,1,0.22,55,0,0,0,1.382352941,0.780174392,,,1,1,1,1,3.74,62,28,22,0,12,118,1,149.33,1490.33,1490.33,149 1/3,3,2624,1,213.5419,17,64,5,3,0,134,0,621,1.16,0.857,15,18,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,후랭코프,두산
28,3,0.249,50,0,0,2,1.346354167,0.514342235,,,1,1,1,1,3.84,85,31,19,1,19,188,0,199,199,199,199,7,3089,1,264.67,19,89,5,1,1,175,0,829,1.2,0.611,4,11,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,브리검,넥센
28,3,0.25,47,2,0,0,1.264058680,0.569553643,,,1,1,1,1,4.09,72,28,13,0,18,152,1,158.33,1580.33,1580.33,158 1/3,7,2497,1,170.9964,13,78,2,4,0,161,0,674,1.26,0.632,5,12,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,켈리,SK
33,0,0.278,43,0,0,3,1.245783133,0.554577934,,,1,1,1,1,4.15,85,29,2,0,21,199,1,184.33,1840.33,1840.33,184 1/3,11,2883,1,188.0166,17,88,9,3,0,152,0,772,1.31,0.542,5,13,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,양현종,KIA
31,3,0.254,54,0,0,0,1.236842105,1.009044484,,,1,1,1,1,4.18,74,30,20,0,16,158,0,159.33,1590.33,1590.33,159 1/3,8,2701,1,157.7367,10,81,3,4,0,133,0,702,1.33,0.636,3,14,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,박종훈,SK
33,4,0.296,39,0,0,0,1.216470588,0.849826680,,,1,1,1,1,4.25,83,29,9,0,26,209,2,175.66,175 2/3,1750.66,175 2/3,8,2965,1,161.6072,20,88,6,5,0,165,0,765,1.41,0.5,9,8,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,니퍼트,KT
27,1,0.286,38,0,0,1,1.202325581,0.972797694,,,1,1,1,1,4.3,78,27,6,0,24,186,0,163.33,1630.33,1630.33,163 1/3,8,2723,1,142.0971,16,90,10,3,0,141,0,707,1.37,0.5,5,8,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,피어밴드,KT
33,2,0.296,37,0,0,0,1.123913043,10.127253446,,,1,1,1,1,4.6,77,31,4,1,24,180,0,15.66,150 2/3,1500.66,150 2/3,9,2509,1,8.9262,9,86,5,2,0,122,1,656,1.44,0.471,4,8,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,문승원,SK
31,0,0.298,36,1,0,1,1.123913043,0.965011287,,,1,1,1,1,4.6,89,29,4,0,25,209,2,174,174,174,174,10,2871,1,99.18,18,102,7,5,0,137,0,753,1.41,0.524,4,11,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,헥터,KIA
26,1,0.234,79,2,0,0,1.104700855,0.503457479,,,1,1,1,1,4.68,84,30,5,0,17,144,0,161.66,161 2/3,1610.66,161 2/3,8,3047,1,79.2134,15,91,1,3,0,195,0,703,1.38,0.619,18,13,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,샘슨,한화
34,4,0.263,54,2,0,0,1.090717300,0.947501790,,,1,1,1,1,4.74,94,30,18,0,24,180,1,178.33,1780.33,1780.33,178 1/3,13,3048,1,76.6819,15,106,7,11,0,178,0,775,1.31,0.458,4,11,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,레일리,롯데
27,2,0.266,49,0,0,1,1.079331942,0.732977561,,,1,1,1,1,4.79,81,29,10,0,13,157,2,152.33,1520.33,1520.33,152 1/3,13,2740,1,57.8854,10,87,4,4,0,116,0,658,1.35,0.278,6,5,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,이재학,NC
42,3,0.307,49,0,0,0,1.079331942,1.643437863,,,1,1,1,1,4.79,90,30,20,0,22,208,0,169,169,169,169,7,2790,1,64.22,12,98,5,5,0,105,0,756,1.52,0.611,6,11,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,한현희,넥센
21,3,0.277,39,0,1,0,1.057259714,1.535043426,,,1,1,1,1,4.89,79,29,7,1,26,161,1,145.33,1450.33,1450.33,145 1/3,8,2467,1,40.6924,14,90,4,0,0,124,0,632,1.38,0.5,12,8,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,산체스,SK
39,1,0.296,54,1,0,0,1.023762376,1.039035591,,,1,1,1,1,5.05,96,31,11,0,20,202,0,171,171,171,171,12,3070,1,20.52,15,101,5,6,0,137,0,758,1.5,0.4,7,8,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,아델만,삼성
31,2,0.289,59,1,0,0,0.979166667,1.441213654,490,300,1,1,1,1,5.28,91,29,9,0,24,178,0,155,155,155,155,10,2682,1,-17.05,11,94,5,9,0,144,0,698,1.53,0.375,10,6,,,1,베렛,"금민철, 김원중, 베렛 및 2 이상",베렛,NC
40,2,0.29,63,1,0,0,0.975471698,1.296728972,1480,300,1,1,1,1,5.3,99,29,12,0,23,193,1,168,168,168,168,10,2931,1,-21.84,15,111,8,3,0,151,0,752,1.52,0.412,9,7,,,1,보니야,"금민철, 김원중, 베렛 및 2 이상",보니야,삼성
30,1,0.335,68,0,0,0,0.955637708,1.968281828,810,300,1,1,1,1,5.41,94,29,7,0,19,212,1,156.33,1560.33,1560.33,156 1/3,12,2695,1,-37.5192,11,104,9,4,0,79,0,720,1.79,0.4,10,8,,,1,금민철,"금민철, 김원중, 베렛 및 2 이상",금민철,KT
32,1,0.321,47,0,0,0,0.896013865,1.528092887,180,300,1,1,1,1,5.77,94,29,13,0,23,195,1,146.66,146 2/3,1460.66,146 2/3,11,2640,1,-87.996,9,104,7,6,0,125,1,680,1.65,0.5,6,11,,,1,임찬규,"금민철, 김원중, 베렛 및 2 이상",임찬규,LG
36,4,0.269,79,0,0,1,0.848932677,17.128712871,,,1,1,1,1,6.09,115,29,10,0,27,177,2,17,170,170,170,10,2956,1,-15.64,13,119,4,10,0,136,0,762,1.51,0.545,10,12,,,1,"니퍼트, 레일리, 린드블럼 및 17 이상",기타,차우찬,LG
37,2,0.295,77,0,0,0,0.744956772,2.383356898,1130,300,1,1,1,1,6.94,112,30,11,0,28,173,1,145.33,1450.33,1450.33,145 1/3,7,2717,1,-257.2341,5,115,4,3,0,137,0,681,1.72,0.533,7,8,,,1,김원중,"금민철, 김원중, 베렛 및 2 이상",김원중,롯데
